intent,rewritten_intent,snippet,question_id
round number to nearest integer,round number 8.005 up to 2 decimal places,"round(8.005, 2)",31818050
round number to nearest integer,round number 7.005 up to 2 decimal places,"round(7.005, 2)",31818050
round number to nearest integer,round number 6.005 up to 2 decimal places,"round(6.005, 2)",31818050
round number to nearest integer,round number 1.005 up to 2 decimal places,"round(1.005, 2)",31818050
Pandas - FillNa with another column,fill missing value in one column 'Cat1' with the value of another column 'Cat2',df['Cat1'].fillna(df['Cat2']),30357276
Python: Logging TypeError: not all arguments converted during string formatting,convert the argument `date` with string formatting in logging,"logging.info('date=%s', date)",12843099
Python: Logging TypeError: not all arguments converted during string formatting,Log message of level 'info' with value of `date` in the message,logging.info('date={}'.format(date)),12843099
"In dictionary, converting the value from string to integer",convert values in dictionary `d` into integers,"{k: int(v) for k, v in d.items()}",9224385
How can I add the corresponding elements of several lists of numbers?,sum elements at the same index of each list in list `lists`,"map(sum, zip(*lists))",11280536
Python: How to convert a string containing hex bytes to a hex string,Convert a string `s` containing hex bytes to a hex string,s.decode('hex'),10824319
Python: How to convert a string containing hex bytes to a hex string,convert a string `s` containing hex bytes to a hex string,binascii.a2b_hex(s),10824319
MITM proxy over SSL hangs on wrap_socket with client,send data 'HTTP/1.0 200 OK\r\n\r\n' to socket `connection`,connection.send('HTTP/1.0 200 established\r\n\r\n'),40851413
MITM proxy over SSL hangs on wrap_socket with client,send data 'HTTP/1.0 200 OK\r\n\r\n' to socket `connection`,connection.send('HTTP/1.0 200 OK\r\n\r\n'),40851413
Set value for particular cell in pandas DataFrame,set the value of cell `['x']['C']` equal to 10 in dataframe `df`,df['x']['C'] = 10,13842088
Norm along row in pandas,normalize the dataframe `df` along the rows,np.sqrt(np.square(df).sum(axis=1)),18524112
How do I remove identical items from a list and sort it in Python?,remove identical items from list `my_list` and sort it alphabetically,sorted(set(my_list)),22741068
Python Finding Index of Maximum in List,find the index of the element with the maximum value from a list 'a'.,"max(enumerate(a), key=lambda x: x[1])[0]",11530799
Python Accessing Values in A List of Dictionaries,create a list where each element is a value of the key 'Name' for each dictionary `d` in the list `thisismylist`,[d['Name'] for d in thisismylist],17117912
Python Accessing Values in A List of Dictionaries,create a list of tuples with the values of keys 'Name' and 'Age' from each dictionary `d` in the list `thisismylist`,"[(d['Name'], d['Age']) for d in thisismylist]",17117912
How to grab one random item from a database in Django/postgreSQL?,grab one random item from a database `model` in django/postgresql,model.objects.all().order_by('?')[0],9354127
"Run a python script from another python script, passing in args","run python script 'script2.py' from another python script, passing in 1 as an argument",os.system('script2.py 1'),3781851
Python Regex for hyphenated words,python regex for hyphenated words in `text`,"re.findall('\\w+(?:-\\w+)+', text)",8383213
Create variable key/value pairs with argparse (python),create variable key/value pairs with argparse,"parser.add_argument('--conf', nargs=2, action='append')",27146262
"How do you pick ""x"" number of unique numbers from a list in Python?",Get `3` unique items from a list,"random.sample(list(range(1, 16)), 3)",6494508
Sort a list of strings based on regular expression match or something similar,sort list `strings` in alphabetical order based on the letter after percent character `%` in each element,"strings.sort(key=lambda str: re.sub('.*%(.).*', '\\1', str))",1082413
Sort a list of strings based on regular expression match or something similar,sort a list of strings `strings` based on regex match,"strings.sort(key=lambda str: re.sub('.*%', '', str))",1082413
Appending to 2D lists in Python,Create list `listy` containing 3 empty lists,listy = [[] for i in range(3)],7745562
Sort NumPy float array column by column,sort numpy float array `A` column by column,"A = np.array(sorted(A, key=tuple))",12496531
Python list comprehension for loops,Get a list from two strings `12345` and `ab` with values as each character concatenated,[(x + y) for x in '12345' for y in 'ab'],18649884
Trimming a string,"trim string "" Hello """,' Hello '.strip(),761804
Trimming a string,trim string `myString `,myString.strip(),761804
Trimming a string,"Trimming a string "" Hello """,' Hello '.strip(),761804
Trimming a string,"Trimming a string "" Hello""",' Hello'.strip(),761804
Trimming a string,"Trimming a string ""Bob has a cat""",'Bob has a cat'.strip(),761804
Trimming a string,"Trimming a string ""          Hello        """,'          Hello        '.strip(),761804
Trimming a string,Trimming a string `str`,str.strip(),761804
Trimming a string,"Trimming ""\n"" from string `myString`",myString.strip('\n'),761804
Trimming a string,"left trimming ""\n\r"" from string `myString`",myString.lstrip('\n\r'),761804
Trimming a string,"right trimming ""\n\t"" from string `myString`",myString.rstrip('\n\t'),761804
Trimming a string,"Trimming a string ""  Hello\n"" by space",'  Hello\n'.strip(' '),761804
Sort a list of tuples depending on two elements,"sort a list of tuples 'unsorted' based on two elements, second and third","sorted(unsorted, key=lambda element: (element[1], element[2]))",9376384
"Python, Encoding output to UTF-8",decode string `content` to UTF-8 code,print(content.decode('utf8')),17577727
How do I vectorize this loop in numpy?,find the index of the maximum value in the array `arr` where the boolean condition in array `cond` is true,"np.ma.array(np.tile(arr, 2).reshape(2, 3), mask=~cond).argmax(axis=1)",31767173
How to convert efficiently a dataframe column of string type into datetime in Python?,"convert a dataframe `df`'s column `ID` into datetime, after removing the first and last 3 letters",pd.to_datetime(df.ID.str[1:-3]),42100344
How to gracefully fallback to `NaN` value while reading integers from a CSV with Pandas?,read CSV file 'my.csv' into a dataframe `df` with datatype of float for column 'my_column' considering character 'n/a' as NaN value,"df = pd.read_csv('my.csv', dtype={'my_column': np.float64}, na_values=['n/a'])",30190459
How to gracefully fallback to `NaN` value while reading integers from a CSV with Pandas?,convert nan values to ‘n/a’ while reading rows from a csv `read_csv` with pandas,"df = pd.read_csv('my.csv', na_values=['n/a'])",30190459
All combinations of a list of lists,create a list containing all cartesian products of elements in list `a`,list(itertools.product(*a)),798854
How to extract all UPPER from a string? Python,remove uppercased characters in string `s`,"re.sub('[^A-Z]', '', s)",15886340
Get date from ISO week number in Python,convert string '2011221' into a DateTime object using format '%Y%W%w',"datetime.strptime('2011221', '%Y%W%w')",5882405
"How to read a ""C source, ISO-8859 text""",read file 'myfile' using encoding 'iso-8859-1',"codecs.open('myfile', 'r', 'iso-8859-1').read()",16883447
List Comprehensions in Python : efficient selection in a list,create a list containing elements from list `list` that are predicate to function `f`,[f(x) for x in list],1222677
Regex matching 5-digit substrings not enclosed with digits,regex matching 5-digit substrings not enclosed with digits in `s`,"re.findall('(?<!\\d)\\d{5}(?!\\d)', s)",41807864
filtering elements from list of lists in Python?,create a list containing elements of list `a` if the sum of the element is greater than 10,[item for item in a if sum(item) > 10],2655956
python: how to convert currency to decimal?,convert currency string `dollars` to decimal `cents_int`,cents_int = int(round(float(dollars.strip('$')) * 100)),3887469
Remove final characters from string recursively - What's the best way to do this?,remove letters from string `example_line` if the letter exist in list `bad_chars`,""""""""""""".join(dropwhile(lambda x: x in bad_chars, example_line[::-1]))[::-1]",39532974
Creating an empty list,Creating an empty list `l`,l = [],2972212
Creating an empty list,Creating an empty list `l`,l = list(),2972212
Creating an empty list,Creating an empty list,list(),2972212
Creating an empty list,Creating an empty list,[],2972212
How to properly quit a program in python,properly quit a program,sys.exit(0),13022385
Add string in a certain position in Python,add string `-` in `4th` position of a string `s`,s[:4] + '-' + s[4:],5254445
Python : how to append new elements in a list of list?,append 3 lists in one list,[[] for i in range(3)],11219949
Python : how to append new elements in a list of list?,Initialize a list of empty lists `a` of size 3,a = [[] for i in range(3)],11219949
Changing the referrer URL in python requests,request URL `url` using http header `{'referer': my_referer}`,"requests.get(url, headers={'referer': my_referer})",20837786
"Python, Matplotlib, subplot: How to set the axis range?","set the y axis range to `0, 1000` in subplot using pylab","pylab.ylim([0, 1000])",2849286
Pandas convert a column of list to dummies,convert a column of list in series `s` to dummies,pd.get_dummies(s.apply(pd.Series).stack()).sum(level=0),29034928
Finding the largest delta between two integers in a list in python,,"max(abs(x - y) for x, y in zip(values[1:], values[:-1]))",3428769
How to convert hex string to integer in Python?,convert a hex string `x` to string,"y = str(int(x, 16))",2636755
check if a string is a number (float),check if string `a` is an integer,a.isdigit(),354038
check if a string is a number,function to check if a string is a number,isdigit(),354038
check if a string is a number,check if string `b` is a number,b.isdigit(),354038
pandas.read_csv: how to skip comment lines,pandas read comma-separated CSV file `s` and skip commented lines starting with '#',"pd.read_csv(StringIO(s), sep=',', comment='#')",18366797
Pandas: how to change all the values of a column?,"pandas: change all the values of a column 'Date' into ""int(str(x)[-4:])""",df['Date'] = df['Date'].apply(lambda x: int(str(x)[-4:])),12604909
sum a list of numbers in Python,sum a list of numbers `list_of_nums`,sum(list_of_nums),4362586
how to get the index of dictionary with the highest value in a list of dictionary,Get an item from a list of dictionary `lst` which has maximum value in the key `score` using lambda function,"max(lst, key=lambda x: x['score'])",6561653
Get data from the meta tags using BeautifulSoup,BeautifulSoup find all tags with attribute 'name' equal to 'description',soup.findAll(attrs={'name': 'description'}),3774571
Python: how to get rid of spaces in str(dict)?,"remove all spaces from a string converted from dictionary `{'a': 1, 'b': 'as df'}`","str({'a': 1, 'b': 'as df'}).replace(': ', ':').replace(', ', ',')",39268928
Python: how to get rid of spaces in str(dict)?,convert dictionary `dict` into a string formatted object,"'{' + ','.join('{0!r}:{1!r}'.format(*x) for x in list(dct.items())) + '}'",39268928
Python- insert a character into a string,concatenate items from list `parts` into a string starting from the second element,""""""""""""".join(parts[1:])",13655392
Python- insert a character into a string,"insert a character ',' into a string in front of '+' character in second part of the string",""""""",+"""""".join(c.rsplit('+', 1))",13655392
How do I delete a row in a numpy array which contains a zero?,delete all rows in a numpy array `a` where any value in a row is zero `0`,"a[np.all(a != 0, axis=1)]",18397805
Extracting only characters from a string in Python,extract only alphabetic characters from a string `your string`,""""""" """""".join(re.split('[^a-zA-Z]*', 'your string'))",8199398
Extracting only characters from a string in Python,Extract only characters from a string as a list,"re.split('[^a-zA-Z]*', 'your string')",8199398
Create Union of All Values Contained in Multiple Lists,get the union set from list of lists `results_list`,results_union = set().union(*results_list),2151517
Create Union of All Values Contained in Multiple Lists,get the union of values in list of lists `result_list`,return list(set(itertools.chain(*result_list))),2151517
python: check if an numpy array contains any element of another array,check if a numpy array `a1` contains any element of another array `a2`,"np.any(np.in1d(a1, a2))",36190533
Removing control characters from a string in python,removing control characters from a string `s`,return ''.join(ch for ch in s if unicodedata.category(ch)[0] != 'C'),4324790
How to compare two lists in python,Compare if each value in list `a` is less than respective index value in list `b`,"all(i < j for i, j in zip(a, b))",28767642
python selenium click on button,python selenium click on button '.button.c_button.s_button',driver.find_element_by_css_selector('.button.c_button.s_button').click(),21350605
python selenium click on button,,driver.find_element_by_css_selector('.button .c_button .s_button').click(),21350605
Is it possible to kill a process on Windows from within Python?,kill a process `make.exe` from python script on windows,os.system('taskkill /im make.exe'),6278847
How to get current date and time from DB using SQLAlchemy,SQLAlchemy select records of columns of table `my_table` in addition to current date column,"print(select([my_table, func.current_date()]).execute())",4552380
Remove duplicate chars using regex?,remove duplicate characters from string 'ffffffbbbbbbbqqq',"re.sub('([a-z])\\1+', '\\1', 'ffffffbbbbbbbqqq')",4574509
Regex to remove periods in acronyms?,remove periods inbetween capital letters that aren't immediately preceeded by word character(s) in a string `s` using regular expressions,"re.sub('(?<!\\w)([A-Z])\\.', '\\1', s)",40196941
how to parse a list or string into chunks of fixed length,Get a list of strings `split_text` with fixed chunk size `n` from a string `the_list`,"split_list = [the_list[i:i + n] for i in range(0, len(the_list), n)]",6372228
replacing all regex matches in single line,"match string 'this is my string' with regex '\\b(this|string)\\b'
then replace it with regex '<markup>\\1</markup>'","re.sub('\\b(this|string)\\b', '<markup>\\1</markup>', 'this is my string')",4338032
Output data from all columns in a dataframe in pandas,output data of the first 7 columns of Pandas dataframe,"pandas.set_option('display.max_columns', 7)",11361985
Output data from all columns in a dataframe in pandas,Display maximum output data of columns in dataframe `pandas` that will fit into the screen,"pandas.set_option('display.max_columns', None)",11361985
Modifying a subset of rows in a pandas dataframe,set the value in column 'B' to NaN if the corresponding value in column 'A' is equal to 0 in pandas dataframe `df`,"df.ix[df.A == 0, 'B'] = np.nan",12307099
Selecting Element followed by text with Selenium WebDriver,"Selecting Element ""//li/label/input"" followed by text ""polishpottery"" with Selenium WebDriver `driver`","driver.find_element_by_xpath(""//li/label/input[contains(..,'polishpottery')]"")",11406091
Ordering a list of dictionaries in python,"Sort a list of dictionaries `mylist` by keys ""weight"" and ""factor""","mylist.sort(key=operator.itemgetter('weight', 'factor'))",861190
Ordering a list of dictionaries in python,ordering a list of dictionaries `mylist` by elements 'weight' and 'factor',"mylist.sort(key=lambda d: (d['weight'], d['factor']))",861190
From a list of lists to a dictionary,Convert a list of lists `lol` to a dictionary with key as second value of a list and value as list itself,{x[1]: x for x in lol},14986218
Sorting dictionary keys based on their values,sort keys of dictionary 'd' based on their values,"sorted(d, key=lambda k: d[k][1])",4690094
Python: How to round 123 to 100 instead of 100.0?,round 123 to 100,"int(round(123, -2))",2742784
How do I create a file in python without overwriting an existing file,create file 'x' if file 'x' does not exist,"fd = os.open('x', os.O_WRONLY | os.O_CREAT | os.O_EXCL)",1348026
How to slice a list of strings with space delimiter?,get a list of last trailing words from another list  of strings`Original_List`,new_list = [x.split()[-1] for x in Original_List],40535203
Reverse a string,Reverse a string 'hello world','hello world'[::(-1)],931092
Reverse a string,Reverse list `s`,s[::(-1)],931092
Reverse a string,Reverse string 'foo',''.join(reversed('foo')),931092
Reverse a string,Reverse a string `string`,''.join(reversed(string)),931092
Reverse a string,"Reverse a string ""foo""",'foo'[::(-1)],931092
Reverse a string,Reverse a string `a_string`,a_string[::(-1)],931092
Reverse a string,Reverse a string `a_string`,"def reversed_string(a_string):
    return a_string[::(-1)]",931092
Reverse a string,Reverse a string `s`,''.join(reversed(s)),931092
Generate a sequence of numbers in Python,generate a string of numbers separated by comma which is divisible by `4` with remainder `1` or `2`.,""""""","""""".join(str(i) for i in range(100) if i % 4 in (1, 2))",11064917
How to convert this list into a dictionary,"convert list `lst` of key, value pairs into a dictionary","dict([(e[0], int(e[1])) for e in lst])",33824334
sorting a list of tuples in Python,sorting a list of tuples `list_of_tuples` where each tuple is reversed,"sorted(list_of_tuples, key=lambda tup: tup[::-1])",10213994
sorting a list of tuples in Python,sorting a list of tuples `list_of_tuples` by second key,"sorted(list_of_tuples, key=lambda tup: tup[1])",10213994
Concatenating two one-dimensional NumPy arrays,Concatenating two one-dimensional NumPy arrays 'a' and 'b'.,"numpy.concatenate([a, b])",9236926
Writing a list to a file with Python,writing items in list `thelist` to file `thefile`,"for item in thelist:
    thefile.write(('%s\n' % item))",899103
Writing a list to a file with Python,writing items in list `thelist` to file `thefile`,"for item in thelist:
    pass",899103
Writing a list to a file with Python,serialize `itemlist` to file `outfile`,"pickle.dump(itemlist, outfile)",899103
Writing a list to a file with Python,writing items in list `itemlist` to file `outfile`,outfile.write('\n'.join(itemlist)),899103
SQLAlchemy: a better way for update with declarative?,Update a user's name as `Bob Marley` having id `123` in SQLAlchemy,session.query(User).filter_by(id=123).update({'name': 'Bob Marley'}),2631935
How to send cookies in a post request with the Python Requests library?,send cookies `cookie` in a post request to url 'http://wikipedia.org' with the python requests library,"r = requests.post('http://wikipedia.org', cookies=cookie)",7164679
How to include third party Python libraries in Google App Engine?,insert directory 'libs' at the 0th index of current directory,"sys.path.insert(0, 'libs')",14850853
get current time,get current date and time,datetime.datetime.now(),415511
get current time,get current time,datetime.datetime.now().time(),415511
get current time,get current time in pretty format,"strftime('%Y-%m-%d %H:%M:%S', gmtime())",415511
get current time,get current time in string format,str(datetime.now()),415511
get current time,get current time,datetime.datetime.time(datetime.datetime.now()),415511
Converting hex to int in python,convert hex '\xff' to integer,ord('\xff'),19819863
Python Pandas Identify Duplicated rows with Additional Column,identify duplicated rows in columns 'PplNum' and 'RoomNum' with additional column in dataframe `df`,"df.groupby(['PplNum', 'RoomNum']).cumcount() + 1",37497559
How to get UTC time in Python?,get current utc time,datetime.utcnow(),15940280
Python: Make last item of array become the first,move last item of array `a` to the first position,a[-1:] + a[:-1],12845112
pandas: how to run a pivot with a multi-index?,"Convert dataframe `df` to a pivot table using column 'year', 'month', and 'item' as indexes","df.set_index(['year', 'month', 'item']).unstack(level=-1)",35414625
pandas: how to run a pivot with a multi-index?,run a pivot with a multi-index `year` and `month` in a pandas data frame,"df.pivot_table(values='value', index=['year', 'month'], columns='item')",35414625
How to print/show an expression in rational number form in python,print a rational number `3/2`,print('\n\x1b[4m' + '3' + '\x1b[0m' + '\n2'),39381222
What is the best way to sort list with custom sorting parameters in Python?,,li1.sort(key=lambda x: not x.startswith('b.')),7996940
How to loop backwards in python?,iterate backwards from 10 to 0,"range(10, 0, -1)",3476732
Get Element value with minidom with Python,get value of first child of xml node `name`,name[0].firstChild.nodeValue,317413
Simple threading in Python 2.6 using thread.start_new_thread(),start a new thread for `myfunction` with parameters 'MyStringHere' and 1,"thread.start_new_thread(myfunction, ('MyStringHere', 1))",849674
Simple threading in Python 2.6 using thread.start_new_thread(),start a new thread for `myfunction` with parameters 'MyStringHere' and 1,"thread.start_new_thread(myfunction, ('MyStringHere', 1))",849674
How to find all positions of the maximum value in a list?,get index of the first biggest element in list `a`,a.index(max(a)),3989016
Regex add character to matched string,replace periods `.` that are not followed by periods or spaces with a period and a space `. `,"re.sub('\\.(?=[^ .])', '. ', para)",42731970
how to turn a string of letters embedded in squared brackets into embedded lists,convert a string `a` of letters embedded in squared brackets into embedded lists,"[i.split() for i in re.findall('\\[([^\\[\\]]+)\\]', a)]",33147992
extract item from list of dictionaries,extract dictionary `d` from list `a` where the value associated with the key 'name' of dictionary `d` is equal to 'pluto',[d for d in a if d['name'] == 'pluto'],7900882
extract item from list of dictionaries,extract dictionary from list of dictionaries based on a key's value.,[d for d in a if d['name'] == 'pluto'],7900882
Python: simplest way to get list of values from dict?,Retrieve list of values from dictionary 'd',list(d.values()),16228248
String manipulation in Cython,replace occurrences of two whitespaces or more with one whitespace ' ' in string `s`,"re.sub(' +', ' ', s)",943809
Set execute bit for a file using python,Change the mode of file 'my_script.sh' to permission number 484,"os.chmod('my_script.sh', 484)",14104778
Pandas to_csv call is prepending a comma,write pandas dataframe `df` to the file 'c:\\data\\t.csv' without row names,"df.to_csv('c:\\data\\t.csv', index=False)",30605909
Python regex to remove all words which contains number,remove all words which contains number from a string `words` using regex,"re.sub('\\w*\\d\\w*', '', words).strip()",18082130
How can I control the keyboard and mouse with Python?,control the keyboard and mouse with dogtail in linux,"dogtail.rawinput.click(100, 100)",1946181
How to parse dates with -0400 timezone string in python?,parse date string '2009/05/13 19:19:30 -0400' using format '%Y/%m/%d %H:%M:%S %z',"datetime.strptime('2009/05/13 19:19:30 -0400', '%Y/%m/%d %H:%M:%S %z')",1101508
Python - Locating the position of a regex match in a string?,Get the position of a regex match for word `is` in a string `String`,"re.search('\\bis\\b', String).start()",2674391
Python - Locating the position of a regex match in a string?,Get the position of a regex match `is` in a string `String`,"re.search('is', String).start()",2674391
How to input an integer tuple from user?,input an integer tuple from user,"tuple(map(int, input().split(',')))",2233917
How to input an integer tuple from user?,input a tuple of integers from user,"tuple(int(x.strip()) for x in input().split(','))",2233917
How to replace unicode characters in string with something else python?,replace unicode character '\u2022' in string 'str' with '*',"str.decode('utf-8').replace('\u2022', '*').encode('utf-8')",13093727
How to replace unicode characters in string with something else python?,replace unicode characters ''\u2022' in string 'str' with '*',"str.decode('utf-8').replace('\u2022', '*')",13093727
How to convert ndarray to array?,convert ndarray with shape 3x3 to array,"np.zeros((3, 3)).ravel()",18200052
What OS am I running on,get os name,"import platform
platform.system()",1854
What OS am I running on,get os version,"import platform
platform.release()",1854
What OS am I running on,get the name of the OS,print(os.name),1854
What is the most pythonic way to exclude elements of a list that start with a specific character?,,[x for x in my_list if not x.startswith('#')],11791568
"Python string formatting when string contains ""%s"" without escaping","replace fields delimited by braces {} in string ""Day old bread, 50% sale {0}"" with string 'today'","""""""Day old bread, 50% sale {0}"""""".format('today')",2847272
"List of Tuples (string, float)with NaN How to get the min value?",Get a minimum value from a list of tuples `list` with values of type `string` and `float` with nan,"min(list, key=lambda x: float('inf') if math.isnan(x[1]) else x[1])",15148684
Python: Finding average of a nested list,Find average of a nested list `a`,a = [(sum(x) / len(x)) for x in zip(*a)],2153444
How do I add custom field to Python log format string?,Log info message 'Log message' with attributes `{'app_name': 'myapp'}`,"logging.info('Log message', extra={'app_name': 'myapp'})",17558552
finding non-numeric rows in dataframe in pandas?,replace values of dataframe `df` with True if numeric,"df.applymap(lambda x: isinstance(x, (int, float)))",21771133
Sort list of mixed strings based on digits,sort list `l` based on its elements' digits,"sorted(l, key=lambda x: int(re.search('\\d+', x).group(0)))",39129846
Function to close the window in Tkinter,close the window in tkinter,self.root.destroy(),8009176
Calcuate mean for selected rows for selected columns in pandas data frame,"get mean of columns `2, 5, 6, 7, 8` for all rows in dataframe `df`","df.iloc[:, ([2, 5, 6, 7, 8])].mean(axis=1)",36454494
How to filter by sub-level index in Pandas,filter dataframe `df` by sub-level index '0630' in pandas,df[df.index.map(lambda x: x[1].endswith('0630'))],12224778
Deleting row with Flask-SQLAlchemy,flask-sqlalchemy delete row `page`,db.session.delete(page),4921038
How do I convert a unicode to a string at the Python level?,Format a string `u'Andr\xc3\xa9'` that has unicode characters,""""""""""""".join(chr(ord(c)) for c in 'Andr\xc3\xa9')",2783079
How do I convert a unicode to a string at the Python level?,convert a unicode 'Andr\xc3\xa9' to a string,""""""""""""".join(chr(ord(c)) for c in 'Andr\xc3\xa9').decode('utf8')",2783079
Directory listing,"list all files in directory "".""","for (dirname, dirnames, filenames) in os.walk('.'):
    for subdirname in dirnames:
        print(os.path.join(dirname, subdirname))
    for filename in filenames:
        pass",120656
Directory listing,list all files in directory `path`,os.listdir(path),120656
How to rename all folders?,rename file `dir` to `dir` + '!',"os.rename(dir, dir + '!')",11816315
Pythonic way to insert every 2 elements in a string,Insert a character `-` after every two elements in a string `s`,"""""""-"""""".join(a + b for a, b in zip(s[::2], s[1::2]))",3258573
Printing numbers in python,printing numbers rounding up to third decimal place,print('%.3f' % 3.1415),3241594
Add element to a json in python,add variable `var` to key 'f' of first element in JSON data `data`,data[0]['f'] = var,22296496
Retrieving python module path,get the path of module `a_module`,print(a_module.__file__),247770
Retrieving python module path,get the path of the current python module,print(os.getcwd()),247770
Retrieving python module path,get the path of the python module `amodule`,path = os.path.abspath(amodule.__file__),247770
Padding a list in python with particular value,fill list `myList` with 4 0's,self.myList.extend([0] * (4 - len(self.myList))),7026131
Fastest Way to Drop Duplicated Index in a Pandas DataFrame,drop duplicate indexes in a pandas data frame `df`,df[~df.index.duplicated()],22918212
Is there a more pythonic way of exploding a list over a function's arguments?,unpack elements of list `i` as arguments into function `foo`,foo(*i),13891559
Generate list of numbers in specific format,generate list of numbers in specific format using string formatting precision.,[('%.2d' % i) for i in range(16)],12030074
Summarizing a dictionary of arrays in Python,sort dictionary `mydict` in descending order based on the sum of each value in it,"sorted(iter(mydict.items()), key=lambda tup: sum(tup[1]), reverse=True)[:3]",3411025
Summarizing a dictionary of arrays in Python,get top `3` items from a dictionary `mydict` with largest sum of values,"heapq.nlargest(3, iter(mydict.items()), key=lambda tup: sum(tup[1]))",3411025
get index of character in python list,"get index of character 'b' in list '['a', 'b']'","['a', 'b'].index('b')",3847472
How to set font size of Matplotlib axis Legend?,set font size of axis legend of plot `plt` to 'xx-small',"plt.setp(legend.get_title(), fontsize='xx-small')",12402561
Python: Convert a string to an integer,,int('  23  '),2508861
How to extract the n-th elements from a list of tuples in python?,extract the 2nd elements from a list of tuples,[x[1] for x in elements],3308102
getting the opposite diagonal of a numpy array,get the opposite diagonal of a numpy array `array`,np.diag(np.rot90(array)),16114333
Convert list of tuples to list?,flatten list of tuples `a`,list(chain.from_iterable(a)),10941229
Removing white space from txt with python,substitute two or more whitespace characters with character '|' in string `line`,"re.sub('\\s{2,}', '|', line.strip())",36957908
Limiting floats to two decimal points,print float `a` with two decimal points,print(('%.2f' % a)),455612
Limiting floats to two decimal points,print float `a` with two decimal points,print(('{0:.2f}'.format(a))),455612
Limiting floats to two decimal points,print float `a` with two decimal points,"print(('{0:.2f}'.format(round(a, 2))))",455612
Limiting floats to two decimal points,print float `a` with two decimal points,"print(('%.2f' % round(a, 2)))",455612
Limiting floats to two decimal points,limit float 13.9499999 to two decimal points,('%.2f' % 13.9499999),455612
Limiting floats to two decimal points,limit float 3.14159 to two decimal points,('%.2f' % 3.14159),455612
Limiting floats to two decimal points,limit float 13.949999999999999 to two decimal points,float('{0:.2f}'.format(13.95)),455612
Limiting floats to two decimal points,limit float 13.949999999999999 to two decimal points,'{0:.2f}'.format(13.95),455612
How to I load a tsv file into a Pandas DataFrame?,load a tsv file `c:/~/trainSetRel3.txt` into a pandas data frame,"DataFrame.from_csv('c:/~/trainSetRel3.txt', sep='\t')",9652832
How to set UTC offset for datetime?,set UTC offset by 9 hrs ahead for date '2013/09/11 00:17',dateutil.parser.parse('2013/09/11 00:17 +0900'),18722196
Passing list of parameters to SQL in psycopg2,"pass a list of parameters `((1, 2, 3),) to sql queue 'SELECT * FROM table WHERE column IN %s;'","cur.mogrify('SELECT * FROM table WHERE column IN %s;', ((1, 2, 3),))",8671702
How would I sum a multi-dimensional array in the most succinct python?,"sum all elements of two-dimensions list `[[1, 2, 3, 4], [2, 4, 5, 6]]]`","sum([sum(x) for x in [[1, 2, 3, 4], [2, 4, 5, 6]]])",9497290
Access an arbitrary element in a dictionary in Python,Retrieve an arbitrary value from dictionary `dict`,next(iter(dict.values())),3097866
Access an arbitrary element in a dictionary in Python,access an arbitrary value from dictionary `dict`,next(iter(list(dict.values()))),3097866
Pandas: aggregate based on filter on another column,group dataframe `df` by columns 'Month' and 'Fruit',"df.groupby(['Month', 'Fruit']).sum().unstack(level=0)",42012589
sorting list of tuples by arbitrary key,sort list `mylist` of tuples by arbitrary key from list `order`,"sorted(mylist, key=lambda x: order.index(x[1]))",13408919
Python - Sort a list of dics by value of dict`s dict value,sort a list of dictionary `persons` according to the key `['passport']['birth_info']['date']`,"sorted(persons, key=lambda x: x['passport']['birth_info']['date'])",39804375
How can I remove the fragment identifier from a URL?,remove the fragment identifier `#something` from a url `http://www.address.com/something#something`,urlparse.urldefrag('http://www.address.com/something#something'),6250046
How to download to a specific directory with Python?,download to a directory '/path/to/dir/filename.ext' from source 'http://example.com/file.ext',"urllib.request.urlretrieve('http://example.com/file.ext', '/path/to/dir/filename.ext')",21018612
removing duplicates of a list of sets,remove all duplicates from a list of sets `L`,list(set(frozenset(item) for item in L)),32296933
removing duplicates of a list of sets,remove duplicates from a list of sets 'L',[set(item) for item in set(frozenset(item) for item in L)],32296933
How to terminate process from Python using pid?,terminate process `p`,p.terminate(),17856928
Delete all objects in a list,delete all values in a list `mylist`,del mylist[:],14465279
How to throw an error window in Python in Windows,throw an error window in python in windows,"ctypes.windll.user32.MessageBoxW(0, 'Error', 'Error', 0)",3365673
Remove empty strings from a list of strings,remove empty strings from list `str_list`,str_list = list([_f for _f in str_list if _f]),3845423
How to remove whitespace in BeautifulSoup,remove newlines and whitespace from string `yourstring`,"re.sub('[\\ \\n]{2,}', '', yourstring)",4270742
Dot notation string manipulation,remove the last dot and all text beyond it in string `s`,"re.sub('\\.[^.]+$', '', s)",35118265
Removing elements from an array that are in another array,remove elements from an array `A` that are in array `B`,"A[np.all(np.any(A - B[:, (None)], axis=2), axis=0)]",40055835
write to csv from DataFrame python pandas,Write column 'sum' of DataFrame `a` to csv file 'test.csv',"a.to_csv('test.csv', cols=['sum'])",21206395
call a Python script from another Python script,"call a Python script ""test2.py""","exec(compile(open('test2.py').read(), 'test2.py', 'exec'))",1186789
call a Python script from another Python script,"call a Python script ""test1.py""","subprocess.call('test1.py', shell=True)",1186789
How do I sort a zipped list in Python?,sort a zipped list `zipped` using lambda function,"sorted(zipped, key=lambda x: x[1])",7142227
How do I sort a zipped list in Python?,,zipped.sort(key=lambda t: t[1]),7142227
