intent,snippet
how can i determine the length of a multi-page tiff using python image library (pil)?,img.seek(1)
python: how to filter a list of dictionaries to get all the values of a single key,print([a['data'] for a in thedata])
is there any elegant way to build a multi-level dictionary in python?,"print(multidict(['a', 'b'], ['A', 'B'], ['1', '2'], {}))"
loop for each item in a list,"itertools.product(mydict['item1'], mydict['item2'])"
python image library: how to combine 4 images on a 2 x 2 grid?,image64 = Image.open(fluid64 + '%02d.jpg' % pic)
python argparse command line flags without arguments,"parser.add_argument('-w', action='store_true')"
run python code contained in a string,print('hello')
adding data to an undeclared list,"l = [(x * x) for x in range(0, 10)]"
how to get the list of options python was compiled with?,sysconfig.get_config_var('HAVE_LIBREADLINE')
how to draw arbitrary markers in a series of pandas data?,ts.plot(marker='o')
i am looking for a pitonic way to insert a space before capital letters,"re.sub('(\\w)([A-Z])', '\\1 \\2', 'WordWordWWWWWWWord')"
"conda - how to install r packages that are not available in ""r-essential""?","install.packages('png', '/home/user/anaconda3/lib/R/library')"
how can i do an animation with contornef()?,plt.show()
3d scatterplot animation in matplotlib,plt.show()
how to create an instance of ec2 using bot3,"ec2.create_instances(ImageId='<ami-image-id>', MinCount=1, MaxCount=5)"
"how to get value in a certain index, in a python list?","dictionary = dict([(List[i], List[i + 1]) for i in range(0, len(List), 2)])"
matplotlib (mplot3d) - how to increase the size of a shaft (stretching) on a 3d plot?,plt.show()
python pandas datetime.time - datetime.time,df.applymap(time.isoformat).apply(pd.to_timedelta)
pandas: average columns with the same names,"df.groupby(by=df.columns, axis=1).apply(gf)"
group by multiple time units in pandas data frame,dfts = df.set_index('date_time')
how can i draw multiple x or y axes in matplotlib?,plt.xlabel('Dose')
how to designate unattainable python code,"raise ValueError(""Unexpected gender; expected 'm' or 'f', got %s"" % gender)"
how can i trace hysteresis in matplotlib?,"ax = fig.add_subplot(111, projection='3d')"
non-alphanumerical string characters strip in python but keeping special characters,"re.sub('_', '', re.sub(pattern, '', x))"
how to create the object of bytes of python from the long hexagonal chain?,s.decode('hex')
how to multiply all integers within the list,"l = map(lambda x: x * 2, l)"
how to read multiple files and combine them in a single pandas data frame?,dfs = pd.concat([pd.read_csv('data/' + f) for f in files])
pandas: how to find the maximum values n for each category in a column,"[['A', 'Book2', '10'], ['B', 'Book1', '7'], ['B', 'Book2', '5']]"
the best way to swap the contents of each column in nuppy,"array([[12, 1, 14, 11], [4, 9, 10, 7], [8, 5, 6, 15], [0, 13, 2, 3]])"
convert integer to hex-string with specific formatting,hex(x)[2:].decode('hex')
text format to be justified in python 3.3 with method.format(),"""""""{:20s}"""""".format(mystring)"
custom keys for google app engine (python) models,kwargs['key_name'] = kwargs['name']
how to format a floating number to the fixed width in python,print('{:10.4f}'.format(x))
get follow-up of warnings,warnings.simplefilter('always')
how to get the first item in a list of tuples?,new_list = [seq[0] for seq in yourlist]
collapsing the white space in the chain,"re.sub('[_\\W]+', ' ', s).strip().upper()"
mapping values in a python dictionary,"my_dictionary = {k: f(v) for k, v in list(my_dictionary.items())}"
grouping of pandas dataframe for n days from the beginning of the day,df['dateonly'] = df['time'].apply(lambda x: x.date())
pandas: the best way to select all columns from x,"df.loc[(df == 1).any(axis=1), df.columns.map(lambda x: x.startswith('foo'))]"
multi-index sub-level panda dataframe,df['Measurements'] = df.reset_index().groupby('Trial').cumcount()
how to convert a jpeg image into json file in google machine learning,{'image_bytes': {'b64': 'dGVzdAo='}}
python: how can i include delimiters in a chain division?,"['(two', 'plus', 'three)', 'plus', 'four']"
how to use pandas python to obtain the intersection of sets of a csv file,csv_pd.query('setA==1 & setB==0 & setC==0').groupby('D').count()
sqlalchemy query where a column contains a substring,Model.query.filter(Model.columnName.contains('sub_string'))
how to get the current port number in flask?,app.run(port=port)
adds a number to each item in a list (or matrix) in python,"map(lambda x: x + 1, L)"
is it possible to print the string in a certain position of the screen inside idle?,sys.stdout.flush()
how to combine two data frames in pandas python,"df_col_merged = pd.concat([df_a, df_b], axis=1)"
how to teach beginners how to reverse a chain in python?,s[::-1]
"how is it determined if an ip address is private, in python?",ip.iptype()
insert item in the ordered case-insensitive list in python,"['a', 'A', 'b', 'B', 'c', 'C', 'd', 'D', 'e', 'E']"
numpy: sorting a multidimensional array by a multidimensional array,a[list(np.ogrid[[slice(x) for x in a.shape]][:-1]) + [i]]
3d plot with python,plt.show()
how to rotate a qpushbutton?,self.layout.addWidget(self.button)
"using python, is there a way to automatically detect a box of pixels in an image?",img.save(sys.argv[2])
when should i commit to sqlalchemy using a loop for?,db.session.commit()
open file with a unicode file name?,open('someUnicodeFilename\u03bb')
contact lists in python,"list(chain.from_iterable(zip(list_a, list_b)))"
python & pandas: how to ask if a list type column contains something?,df[df.genre.str.join(' ').str.contains('comedy')]
python dict understanding with two ranges,"{i: j for i, j in zip(list(range(1, 5)), list(range(7, 11)))}"
python: literally invalid for int() with base 10: '808.666666667',int(float('808.666666666667'))
python: avoid values in rounding pandas series to whole,"series = pd.Series(list(range(20)), dtype=float)"
scatterplot contours in matplotlib,plt.show()
how to add http headers in suds 0.3.6?,client.set_options(headers={'key2': 'value'})
how to attach a scroll bar to a text widget?,"scrollb.grid(row=0, column=1, sticky='nsew')"
colored latex tags on plots,plt.xlabel('$x=\\frac{ \\color{red}{red text} }{ \\color{blue}{blue text} }$')
"get return values from a mysql stored procedure in python, using mysqldb",results = cursor.fetchall()
the right way in python to lift errors while establishing variables,raise ValueError('password must be longer than 6 characters')
find missing values in a nuppy array,m[m.mask]
maximum value search index in the matrix with numpy,x[np.where(x == 5)]
printing a list using python,"print('[', ', '.join(repr(i) for i in list), ']')"
"in python, how can i convert this format into an unix timemark?",int(time.mktime(dt.timetuple()))
how to make matplotlib scatterplots transparent as a group?,plt.show()
"how to filter the dataframe rows from pandas by ""inside""/""in""?",b = df[(df['a'] > 1) & (df['a'] < 5)]
pandas dataframe - find row where column values are maximum,df.ix[df['A'].idxmax()]
representing a multi-selected field for weekdays in a django model,weekdays = models.PositiveIntegerField(choices=WEEKDAYS)
how to get an isoformat datetime string including the default time zone?,datetime.datetime.now(pytz.timezone('US/Central')).isoformat()
how can i replace all nan values with zero in a pandas data frame column?,df['column'] = df['column'].fillna(value)
filtering pandas data frames on dates,df.ix['2014-01-01':'2014-02-01']
how can i get a list of all classes within the current module in python?,"clsmembers = inspect.getmembers(sys.modules[__name__], inspect.isclass)"
get the highest values of each pandas column.dataframe,"pd.DataFrame(_, columns=data.columns, index=data.index[:3])"
how to filter the dict to select only the keys greater than a value?,"{k: v for k, v in list(mydict.items()) if k >= 6}"
capitalization of non-ascii words in python,print('\xc3\xa9'.decode('cp1252').capitalize().encode('cp1252'))
how to convert a jpeg image into json file in google machine learning,{'instances': [{'image_bytes': {'b64': 'dGVzdAo='}}]}
reading hex to python floating double precision,"struct.unpack('d', '4081637ef7d0424a'.decode('hex'))"
how to index a pandas data frame using locations where data changes,"df.drop_duplicates(keep='last', subset=['valueA', 'valueB'])"
passing on variable arguments named in python,"methodB('argvalue', **kwargs)"
how to redirect stderr in python?,"sys.stderr = open('C:\\err.txt', 'w')"
python/mattplotlib - is there a way to make a discontinuous axis?,ax.tick_params(labeltop='off')
matplotlib - extraction of data from contour lines,plt.show()
how can i do an animation with contornef()?,plt.show()
"python regular expressions, find the email domain in the address","re.search('@.*', test_string).group()"
access index of the last element in the data framework,df['date'][df.index[-1]]
how to mask nuppy structured matrix in multiple columns?,A[(A['segment'] == 42) & (A['material'] == 5)]
how to get the width of a chain in pixels?,"width, height = dc.GetTextExtent('Text to measure')"
"search for ""no-contains"" in a pandas data frame",~df['col'].str.contains(word)
extract words between delimiters [] in python,"re.findall('\\[([^\\]]*)\\]', str)"
flask: the use of several packages in one application,app.run()
understanding the python list - simple,[(x * 2 if x % 2 == 0 else x) for x in a_list]
python is added to the matrix in the json object,jsobj['a']['b']['e'].append(dict(f=var3))
python most common item in the list,"print(most_common(['goose', 'duck', 'duck', 'goose']))"
is there a multidimensional version of arange/linspace in nuppy?,"X, Y = np.mgrid[-5:5:21j, -5:5:21j]"
insert a web browser into a python program,browser.close()
find the lowest value in a list of dictionaries in python,return min(d['id'] for d in l if 'id' in d)
split two lists in python,"[(x * 1.0 / y) for x, y in zip(a, b)]"
pythonic way to insert every 2 elements into the string,"""""""-"""""".join(a + b for a, b in zip(t, t))"
rendering text with multiple lines in pygame,pygame.display.update()
ttk: how to make a frame look like a label frame?,root.mainloop()
how to overexploit the line on the scatter plot in python?,"plt.plot(x, m * x + b, '-')"
access to form fields as properties in a django view,print(myForm.cleaned_data.get('description'))
change options for a menu option by clicking a button,root.mainloop()
using python string formatting in a django template,{{(variable | stringformat): '.3f'}}
how to make floats in python format with a certain amount of significant digits?,"""""""{0:.6g}"""""".format(3.539)"
check if the string contains a certain number of words from another string,x = [x for x in b.split() if x in a.split()]
print unicode chain in python regardless of environment,print(s.encode('utf-8'))
wxpython design with sizes,"wx.Frame.__init__(self, parent)"
how to get a specific number times in an array python,[0] * 3
run a python script with arguments,sys.exit('Not enough args')
checking if a variable belongs to a python class,'b' in list(Foo.__dict__.values())
get the number of pool process workers in the python multiprocessing module,multiprocessing.cpu_count()
django - regex for optional url parameters,"return render_to_response('my_view.html', context)"
how to convert est/edt to gmt?,dt.datetime.utcfromtimestamp(time.mktime(date.timetuple()))
efficient way to apply multiple filters to pandas dataframe or series,df[(df['col1'] >= 1) & (df['col1'] <= 1)]
"in python, how can i remove from a list any item containing certain types of characters?","regex = re.compile('\\b[A-Z]{3,}\\b')"
how can i visualize a matrix connection with matplotlib?,plt.show()
extract lists within lists containing a python string,[l for l in paragraph3]
python - put the list items in the queue,"map(self.queryQ.put, self.getQueries())"
python: how to sort the list by last string character,"sorted(s, key=lambda x: int(x[-1]))"
how do you draw a vertical line in a plot of time series in pandas?,"ax.axvline(x, color='k', linestyle='--')"
how to obtain unique values with the respective count of occurrences from a python list?,"[(g[0], len(list(g[1]))) for g in itertools.groupby(['a', 'a', 'b', 'b', 'b'])]"
regular expression that matches anything but a chain,"res = re.findall('-(?!(?:aa|bb)-)([^-]+)(?=-)', s)"
turning the string into a list of positive and negative numbers,"map(int, inputstring.split(','))"
replace non-ascii characters with a single space,return ''.join([(i if ord(i) < 128 else ' ') for i in text])
generic function in python - calling a method with unknown number of arguments,"func(1, *args, **kwargs)"
python convert fraction to decimal,float(a)
can you create a python list of a string while keeping characters in specific keywords together?,"re.findall('car|bus|[a-z]', s)"
the layout of a 2d matrix with matplotlib,ax.set_zlabel('$V(\\phi)$')
convert variable name to chain?,list(globals().keys())[2]
using third-party libraries in python,"setup(name='mypkg', version='0.0.1', install_requires=['PIL'])"
secondary axis with twinx(): how to add to the legend?,"ax.plot(0, 0, '-r', label='temp')"
list of ints in a list of tuples python,"[(1, 109), (2, 109), (2, 130), (2, 131), (2, 132), (3, 28), (3, 127)]"
is there a quick way to generate an alphabet dictation in python?,"d = dict.fromkeys(string.ascii_lowercase, 0)"
unicodewarning: special characters in tkinter,root.mainloop()
find all maximum rates in pandas dataframe,"np.where(df.values == rowmax[:, (None)])"
search for cells with data and use as index in dataframe,"df[df.iloc[0].replace('', np.nan).dropna().index]"
grouping of pandas dataframe for n days from the beginning of the day,df['dateonly'] = pd.to_datetime(df['dateonly'])
set color bar range in matplotlib,plt.show()
what is the best way to get the first element of an iterable match a condition?,next((x for x in range(10) if x > 3))
composite keys in the sqlalchemy,"candidates = db.relationship('Candidate', backref='post', lazy='dynamic')"
how to efficiently reorganise pandas data in the following way?,"(df[cols] > 0).apply(lambda x: ' '.join(x[x].index), axis=1)"
"extracting a region from an image using cuts in python, opencv","cv2.cvtColor(img, cv2.COLOR_BGR2RGB)"
artist matplotlib to stay the same size when approaching but also moving with panning?,plt.show()
add tuple to the list of tuples in python,"result = [(x + dx, y + dy) for x, y in points for dx, dy in offsets]"
how to create a nuppy array of all true or all false?,"array([[True, True], [True, True]], dtype=bool)"
matplotlib: -- how to display all digits in ticks?,gca().xaxis.set_major_formatter(FuncFormatter(formatter))
find a eulerian tour,"graph = [(1, 2), (2, 3), (3, 1), (3, 4), (4, 3)]"
email analysis with python,print(msg['Subject'])
how can i avoid capital position markers in python's argparse module?,parser.print_help()
pandas groupby: count the number of occurrences within a time interval for each group,df['WIN1'] = df['WIN'].map(lambda x: 1 if x == 'Yes' else 0)
how to iterate over a range of keys in a dictionary?,list(d.keys())
how can i analyze xml in python?,print(atype.get('foobar'))
simple python udp server: problems receiving packages from customers other than localhost,"sock.bind(('', UDP_PORT))"
elegant way to extract the tuple from the list of tuples with minimum element value,min([x[::-1] for x in a])[::-1]
add the second axis to the polar plot,plt.show()
how can i prove if a certain registration message is registered in a django test case?,logger.error('Your log message here')
modular addition in python,x = (x + y) % 48
list of chain python maps to integer list,[ord(x) for x in letters]
turning the string list into a nuppy matrix in a faster way,"map(float, i.split(' ', 2)[:2])"
how can i show a np.array with pylab.imshow(),plt.show()
remove the matrix from the list in python,"zip((1, 2), (40, 2), (9, 80))"
remove duplicate values from the dictionary,"r = dict((v, k) for k, v in d.items())"
is it a good idea to call a static method in python about itself instead of the class name itself?,self._bar()
java equivalent of python string partition,"""""""foo bar hello world"""""".split(' ', 2)"
how can i use published ajax data in the flask?,request.json['foo']
read delimited csv tab in nuppy matrix with different types of data,"np.genfromtxt(txt, delimiter='\t', dtype='str')"
"building the full name of the path file in python,","os.path.join(dir_name, base_filename + '.' + filename_suffix)"
matplotlib: drawing lines between points ignoring missing data,plt.show()
how to really upload a file using flask wtf filefield,"file.save(os.path.join(app.config['UPLOAD_FOLDER'], filename))"
can i get a reference to a python property?,print(Foo.__dict__['bar'])
convert a string to a list in python,"x = map(int, '0,1,2'.split(','))"
regex: correctly pairing groups with negative lookback,"print(re.findall('[^/|(]+(?:\\([^)]*\\))*', re.sub('^qr/(.*)/i$', '\\1', str)))"
python date format without zero-padding,"""""""{d.month}/{d.day}/{d.year}"""""".format(d=datetime.datetime.now())"
matplotlib: how to draw a rectangle on the image,plt.show()
the longest chains on the list,longest_strings = [s for s in stringlist if len(s) == maxlength]
python: how to convert a query string to json string?,json.dumps(urlparse.parse_qs('a=1&b=2'))
python regex replace some pattern position,"find.sub('\\1', text)"
json datetime between python and javascript,json.dump(datetime.now().strftime('%Y-%m-%dT%H:%M:%S'))
convert chain to tuple,"print([(x[0], x[-1]) for x in l])"
waiting for the python program,time.sleep(1)
nuppy: multiplication of transmission on a common axis of two 2d matrices,"np.einsum('ij,jk->ijk', A, B)"
how to recover table names in a mysql database with python and mysqldb?,tables = cursor.fetchall()
pandas: the best way to select all columns from x,df.loc[(df == 1).any(axis=1)]
pandas to duplicate a line to fill dataframe,newsampledata.reindex(newsampledata.index.repeat(n)).reset_index(drop=True)
i want to use matplotlib to make a 3d plot given a z function,plt.show()
concatenate the elements in the dictionary in python using the understanding of the list,"print('\n'.join('%s = %s' % (key, value) for key, value in d.items()))"
run a program.bat in the background on windows,time.sleep(1)
check if the string contains a certain number of words from another string,"re.findall('(?=(\\b\\w+\\s\\b\\w+))', st)"
new column in pandas - adding series to dataframe by applying a list groupby,"df.join(df.groupby('Id').concat.apply(list).to_frame('new'), on='Id')"
sort a list by frequency of occurrence in a list,"a.sort(key=Counter(a).get, reverse=True)"
how can i read the number of files in a folder using python?,len(os.walk(path).next()[2])
how can i release the memory used by a pandas data frame?,df.dtypes
"python order a dict by values, producing a list, how to order this from major to minor?","results = sorted(list(results.items()), key=lambda x: x[1], reverse=True)"
the pythonic way of dividing a list into first and rest?,"first, rest = l[0], l[1:]"
how to print the current date in python3?,print(datetime.datetime.now().strftime('%y'))
is there a list of line styles in matplotlib?,"['', ' ', 'None', '--', '-.', '-', ':']"
list of classification of the list in python,"sorted((sorted(item) for item in data), key=lambda x: (len(x), x))"
is there any way to use phantomjs in python?,driver.get('https://google.com/')
nonalphanumeric list order from os.listdir() in python,sorted(os.listdir(whatever_directory))
python: count the number of items in the list for if condition,[i for i in x if 60 < i < 70]
what is a simple matching algorithm of fuzzy strings in python?,"difflib.SequenceMatcher(None, a, b).ratio()"
how is an attribute set programmatically in python?,"setattr(x, attr, 'magic')"
how to sort a list of strings with a different order?,lst.sort()
the best way to format whole as a string with main zeros?,print('{0:05d}'.format(i))
change the application icon and taskbar - python/tkinter,root.iconbitmap(default='ardulan.ico')
email datetime parsing with python,"print(dt.strftime('%a, %b %d, %Y at %I:%M %p'))"
uniting pairs of items from a list - python,"[(x[i] + x[i + 1]) for i in range(0, len(x), 2)]"
shadowing the area between two points in the matplotlib plot,plt.show()
python tkinter - resize widgets evenly in the window,"self.grid_rowconfigure(1, weight=1)"
how to use concatenate a fixed chain and a variable in python,msg['Subject'] = 'Auto Hella Restart Report ' + sys.argv[1]
change file extension in python,os.path.splitext('name.fasta')[0]
matplotlib subplot shaft scale and overlaps with the top plot,plt.show()
redirect printing to log file,logging.info('hello')
use pyqt4 to create a graphical interface that runs the python script,sys.exit(app.exec_())
decodify the json complex in python,json.loads(s)
how to generate all permutations from a list in python,"print(list(itertools.product([1, 2], repeat=3)))"
using selenium in the background,driver.quit()
convert a list to a dictionary in python,"{'bi': 2, 'double': 2, 'duo': 2, 'two': 2}"
create a time chart with color code using color bar and color maps in python,plt.show()
python registration through several modules,logging.info('Doing something')
sort the dictionary by value and then the key,"[v[0] for v in sorted(iter(d.items()), key=lambda k_v: (-k_v[1], k_v[0]))]"
how can i create a list from two dictionaries?,"fu_list = [(k, fus_d.get(k), fus_s.get(k)) for k in fus_d.keys() | fus_s]"
numpy `logic_or` for more than two arguments,"functools.reduce(np.logical_or, (x, y, z))"
how to serialize json a list of model objects in django/python,"return HttpResponse(json.dumps(results), content_type='application/json')"
convert the key of the string to int in the dictionary,"d = {int(k): [int(i) for i in v] for k, v in list(d.items())}"
how to convert uppercase to lowercase letters,"w.strip(',.').lower()"
throws random url characters,"re.sub('Term|Term1|Term2', '', file_name)"
how can i modify a text file in python?,f.write('new line\n')
regex python adding characters after a certain word,"re.sub('(get)', '\\1@', text)"
how to obtain cookies from the web browser with python?,"r = requests.get('http://stackoverflow.com', cookies=cj)"
how can i insert data into a mysql database?,cursor.execute(sql)
basic authentication using urlib2 with python with jira rest api,"r = requests.get('https://api.github.com', auth=('user', 'pass'))"
joining ranks depending on value conditions,"df.groupby(['year', 'bread'])['amount'].sum().reset_index()"
getting only one element from a single element list in python?,singleitem = next(iter(mylist))
how can i capture sigint in python?,sys.exit()
how to erase everything after a certain character in a chain?,s = s[:s.index('.zip') + 4]
list of integers in chain (array of bytes) - python,"str(bytearray([17, 24, 121, 1, 12, 222, 34, 76]))"
analyze values in the text file,"df = pd.read_csv('file_path', sep='\t', error_bad_lines=False)"
how to use script and gunicornio,"manager.add_command('gunicorn', GunicornServer())"
compare 2 lists consisting of dictionaries with unique keys in python,"[[(k, x[k], y[k]) for k in x if x[k] != y[k]] for x, y in pairs if x != y]"
python - numpy - tuples as elements of a matrix,"linalg.svd(a[:, :, (1)])"
nuppy matrix classification in multiple columns in python,df.sort(['date'])
decide and implement a trend algorithm in django,Book.objects.annotate(reader_count=Count('readers')).order_by('-reader_count')
how can i convert an urandom python to a chain?,a.decode('latin1')
python: converting from tupla to string?,"s += '(' + ', '.join(map(str, tup)) + ')'"
get the immediate minimum between a list of numbers in python,max([x for x in num_list if x < 3])
how to call a function from another file?,print(function())
django default field model based on another model field,"super(ModelB, self).save(*args, **kwargs)"
how to read integers of a file that are 24bit and little endian using python?,"struct.unpack('<i', bytes + ('\x00' if bytes[2] < '\x80' else '\xff'))"
how can i divide a string and form a nested dictionary of various levels?,"from functools import reduce
reduce(lambda res, cur: {cur: res}, reversed('foo/bar/baz'.split('/')), 1)"
the flask server cannot read the file uploaded by post request,data = request.files['file'].read()
how to add multiple values to a key in a python dictionary,print(dict(new_dict))
how to screw backwards in python?,"[10, 9, 8, 7, 6, 5, 4, 3, 2, 1]"
django: detect changes in a set of fields when saving a model,"super(MyModel, self).save(*args, **kwargs)"
python: extracting numbers from the string,[int(s) for s in str.split() if s.isdigit()]
create a matrix where each element stores its indexes,"np.moveaxis(np.indices((4, 5)), 0, -1)"
how to store a naive date in django 1.4,pytz.timezone('Europe/Helsinki').localize(naive)
how to get a single list using a keyword :python,list({e.id: e for e in somelist}.values())
how to make basic connections of two rdd tables in spark using python?,"rdd2 = sc.parallelize([('foo', 4), ('bar', 5), ('bar', 6)])"
chain format for hexadecimal colors in python,print('{0:06x}'.format(123))
python: flatten to a list of lists but no more,"[[1, 2, 3], ['a', 'b', 'c']]"
matplotlib display multiple images with for loop,plt.show()
finish a multi-threaded python program,time.sleep(0.1)
5 maximum values in the python dictionary,"max(A, key=A.get)"
python: set an element of a numpy matrix,"a[i, j] = x"
print raw http request in flask or wsgi,app.run()
"python, regex split and special character",l = re.compile('(\\s)').split(s)
"python, regex split and special character",l = re.compile('\\s').split(s)
convert snmp octet string to human readable date format,"datetime.datetime(*struct.unpack('>HBBBBBB', s))"
scikit learn hmm training with observation sequences set,model.fit([X])
the layout of the 3d surface of the list of tuples in matplotlib,plt.show()
map of two lists in a single list of dictionaries,"[dict(zip(keys, a)) for a in zip(values[::2], values[1::2])]"
how can i draw multiple x or y axes in matplotlib?,plt.title('Experimental Data')
pandas: select the first pair of rows in each group,"df.groupby('id', as_index=False).head(2)"
insert an element before each item in a list,[item for sublist in l for item in sublist]
understanding the understanding list to flatten the list of lists in python,[item for sublist in list_of_lists for item in sublist if valid(item)]
how to override the template in django-allauth?,"TEMPLATE_DIRS = os.path.join(BASE_DIR, 'cms', 'templates', 'allauth'),"
control graphics in python,plt.show()
switch a string of integers separated by spaces to a list of int,"map(int, x.split(' '))"
square root scale using matplotlib/python,plt.show()
save different types of data in a numpy matrix?,"array([('a', 0), ('b', 1)], dtype=[('keys', '|S1'), ('data', '<i8')])"
autofmt_xdate removes x-axis tags from all subplots,"plt.setp(plt.xticks()[1], rotation=30, ha='right')"
spaces within the list,"""""""{: 3d}"""""".format(x)"
can i use a class attribute as a default value for an instance method?,my_instance = MyClass(name='new name')
how to fix the unicode problem when using a web service with python suds,thestring = thestring.decode('utf8')
how to filter by sublevel index in pandas,df.index
turning the string into a list of positive and negative numbers,"tuple(map(int, inputstring.split(',')))"
"matplotlib: two axis scales and, how to align grid lines?",plt.show()
create html in python,f.write(doc.render())
python seaborn matplotlib fit line style as legend,plt.show()
programmatically sync db in django,"management.call_command('syncdb', interactive=False)"
authenticate with private key using paramiko transport (channel),session.exec_command('cd /home/harperville/my_scripts/')
create a python dictionary from a text line,"fields = tuple(field.strip() for field in line.split(','))"
extracting the date of the string in python,"date = datetime.strptime(match.group(), '%Y-%m-%d').date()"
change the first line of the file in python,"shutil.copyfileobj(from_file, to_file)"
sort n-d numpy array per column with a smaller n-d matrix,"a[(np.arange(a.shape[0])[:, (None)]), :, (b2)].transpose(0, 2, 1)"
how to iterate over a range of keys in a dictionary?,"[x for x in d if x not in ('Domain Source', 'Recommend Suppress')]"
what would be the most pitonic way to make an attribute that can be used in a lambda?,"lambda : setattr(self, 'spam', 'Ouch')"
python - crontab to run the script,main()
python dictionary replace values,my_dict.get('corse') and my_dict.update({'corse': 'my definition'})
convert a list of integers in range into python,"print(list(ranges([0, 1, 2, 3, 4, 7, 8, 9, 11])))"
django filter jsonfield list of dictates,Test.objects.filter(actions__contains=[{'fixed_key_3': [{'key1': 'foo2'}]}])
hash unicode chain in python,hashlib.sha1(s.encode('utf-8'))
the best way to count the number of rows with missing values in a pandas data frame,"df.apply(lambda x: sum(x.isnull().values), axis=1)"
how to filter a dictionary according to an arbitrary condition function?,"{k: v for k, v in points.items() if v[0] < 5 and v[1] < 5}"
how to modify a variable within a lambda function?,"return myFunc(lambda a, b: iadd(a, b))"
if any item in the list starts with a string?,any(item.startswith('qwerty') for item in myList)
how can i do an animation with contornef()?,pl.show()
when and how to use python rlock,self.changeB()
how to send a file as a python sequence to a c library,main()
how can i get the ip address of eth0 in python?,return s.getsockname()[0]
how to get a specific number times in an array python,"array([4, 5, 5, 6, 6, 6])"
how to replace the first appearance of a regular expression in python?,"re.sub('foo', 'bar', s, 1)"
how to find the shortest string on a python list,"from functools import reduce
reduce(lambda x, y: x if len(x) < len(y) else y, l)"
sympy/scipy: solving a system of ordinary differential equations with different variables,"odeint(dX_dt, [1, 2], np.linspace(0, 1, 5))"
how to call a system command with time limit specified in python?,"os.killpg(self.process.pid, signal.SIGTERM)"
3d plot with matplotlib,ax.set_zlabel('Z')
how can i remove any score that follows a string?,"""""""words!?.,;:"""""".rstrip('?:!.,;')"
"python, format string","'%s %%s %s' % ('foo', 'bar')"
join the last item in the list,""""""" & """""".join(['_'.join(inp[:2]), '_'.join(inp[2:])])"
close all open files in ipython,fh.close()
is there a function in python that generates all the n-length chains over a given alphabet?,"[''.join(i) for i in itertools.product('ab', repeat=4)]"
django: how to filter users belonging to a specific group,"qs = User.objects.filter(groups__name__in=['foo', 'bar'])"
the pythonic way of using the range with the last number excluded?,"list(range(0, 100, 5))"
"how to ""scale"" a nuppy matrix?","np.kron(a, np.ones((n, n)))"
passing newline into string in a command line python script,"print(string.replace('\\n', '\n'))"
converting from a chain to boolean in python?,str2bool('no')
converting from a chain to boolean in python?,str2bool('stuff')
converting from a chain to boolean in python?,str2bool('1')
converting from a chain to boolean in python?,str2bool('0')
python: print a generating expression?,[x for x in foo]
secondary axis with twinx(): how to add to the legend?,plt.show()
the best way to get the nth element of each tuple from a list of tuples in python,"[x for x, y, z in G]"
django urls with empty values,"url('^api/student/(?P<pk>.*)/(?P<pk2>.*)/$', api.studentList.as_view()),"
writing text in good format in python,"f.write('%-40s %6s %10s %2s\n' % (filename, type, size, modified))"
get utc timestamp in python with datetime,dt = dt.replace(tzinfo=timezone('Europe/Amsterdam'))
how to order a dataframe in python pandas for two or more columns?,"df1 = df1.sort(['a', 'b'], ascending=[True, False])"
list duplicate value indices in a python list,"print(list_duplicates([1, 2, 3, 2, 1, 5, 6, 5, 5, 5]))"
delete the first element in the matrix subview,"b = np.delete(a, i, axis=0)"
chain arguments in python multiprocession,"p = multiprocessing.Process(target=write, args=('hello',))"
find item by text with xpath in elementtree,"print(doc.xpath('//element[text()=""A""]')[0].tag)"
is there a way to use tape toolbars in tkinter?,root.mainloop()
how to initialize nested dictionaries in python,my_tree['a']['b']['c']['d']['e'] = 'whatever'
trying to convert a matrix 1 * 3 into a list,my_list = [col for row in matrix for col in row]
python regex simple search pattern,"print(re.findall('\\bv\\w+', thesentence))"
how to check the existence of a row in sqlite with python?,"cursor.execute('create table components (rowid int,name varchar(50))')"
python beautifulsoup looking for a label,"print(soup.find_all('a', {'class': 'black'}))"
3d plot with matplotlib,ax.set_xlabel('X')
"how can i get values that are common to two dictionaries, even if the keys are different?",list(set(dict_a.values()) & set(dict_b.values()))
how to extract the year from an object from python time date?,a = datetime.date.today().year
find duplicates in a list of lists,"map(list, list(totals.items()))"
convert string to md5,hashlib.md5('fred'.encode('utf')).hexdigest()
write multiple numpy arrays in a csv file in separate columns?,"np.savetxt('output.dat', output, delimiter=',')"
find row or column containing maximum value in array numpy,"np.argmax(np.max(x, axis=1))"
indexing of multiple elements in multidimensional matrix,"array([0.49482768, 0.53013301, 0.4485054, 0.49516017, 0.47034123])"
reading the archive in python,"reader = csv.reader(open('filename'), delimiter='\t')"
python + mysqldb executemany,cursor.close()
if/else statements accepting uppercase and lowercase strings in python,"""""""3"""""".lower()"
how to make different lists?,my_list = list(set(my_list))
dict keys with django template spaces,{{(test | getkey): 'this works'}}
how to make arrow that loops in matplotlib?,plt.show()
print a large integer with python3 mini-language string format punctures,"""""""{:,}"""""".format(x).replace(',', '.')"
"the ""pitonic"" method for analyzing a string of comma-separated integers in a list of integers?","mylist = [int(x) for x in '3 ,2 ,6 '.split(',')]"
