intent,snippet
how to make an optional value for argument using argparse?,import argparse
parsing table with beautifulsoup and write in text file,html = response.read()
getting a python traceback without an exception,"r = tracer.results()
r.write_results()"
checking if a number is a prime number in python,count(1)
efficiently keeping track of the top-k keys of a dictionary based on value,"self._update_existing(key, value)"
python respond to http request,"import socketserver
from http.server import BaseHTTPRequestHandler

def some_function():
    print('some_function got called')


class MyHandler(BaseHTTPRequestHandler):

    def do_GET(self):
        if self.path == '/captureImage':
            some_function()
self.send_response(200)
httpd = socketserver.TCPServer(('', 8080), MyHandler)
httpd.serve_forever()"
how to write to a file using non blocking io?,print('open at %s' % str(datetime.datetime.now()))
how to use gensim doc2vec with pre-trained word vectors?,id2token[token2id[onemap]] = onemap
argparse: map user input to defined constant,g = parser.add_mutually_exclusive_group()
finding tan inverse in python,"math.degrees(math.atan(1))
math.radians(45.0)"
how do i change emacs's font face for python docstrings?,pass
can django-tastypie display a different set of fields in the list and detail views of a single resource?,"for obj in to_be_serialized['objects']:
    pass"
python numpy: create 2d array of values based on coordinates,ax.margins(0.05)
scrollable listbox within a grid using tkinter,"self.stop = Button(self, text='stop')"
python unittest: how to satisfy nose coverage for importing packages,from django.db import models
get description of an installed package without actual importing it,"module = __import__(module_name)
h = help(module)
for modname in list(sys.modules):
    if modname not in modules_copy:
        del sys[modname]
if sys.getrefcount(module) > 1:
    warnings.warn('Module {} is likely not to be completely wiped'.format(
        module_name))
del module
return h"
how to convert numeric string ranges to a list in python,"if '-' in part:
    pass"
updating the feature names into scikit tfidfvectorizer,X_train = vectorizer.fit_transform(train_data1)
is is possible to read a file from s3 in google app engine using boto?,key = bucket.get_key('picture.jpg')
colored latex labels in plots,"""""""$x=\\frac{ \\text{\\color{red}{red text}} }{ \\text{\\color{blue}{blue text}} }$"""""""
python: passing a class name as a parameter to a function?,"class TestSpeedRetrieval(webapp.RequestHandler):
    """"""
  Test retrieval times of various important records in the BigTable database 
  """"""

def speedTestForRecordType(self, recordTypeClassname):
    beginTime = time()
itemList = recordTypeClassname.all().fetch(1000)
for item in itemList:
    pass
endTime = time()
self.response.out.write('<br/>%s count=%d Duration=%s' % (
    recordTypeClassname.__name__, len(itemList), duration(beginTime, endTime)))

def get(self):
    self.speedTestForRecordType(Subscriber)
self.speedTestForRecordType(_AppEngineUtilities_SessionData)
self.speedTestForRecordType(CustomLog)"
how to format print output into fixed width?,"""""""{0: <5}"""""".format('ssss')
""""""{0: <5}"""""".format('sssss')"
column filtering in pyspark,df.where(in_last_5_minutes(now)(col('datetime'))).show()
numpy: get 1d array as 2d array without reshape,"print(('reshape:', timeit.timeit(lambda : np.array(v).reshape(-1, 1))))"
classifiying a set of images into classes,Xtranspose = X.transpose()
adding value labels on a matplotlib bar chart,import matplotlib.pyplot as plt
"graphing multiple types of plots (line, scatter, bar etc) in the same window","time = mdates.drange(datetime.datetime(2010, 1, 1), datetime.datetime(2011,
    1, 1), datetime.timedelta(days=5))
y1 = np.cumsum(np.random.random(time.size) - 0.5)
y2 = np.cumsum(np.random.random(time.size) - 0.5)
y2 = y2 * 20 + 10
fig = plt.figure()
host = fig.add_subplot(111)
par = host.twinx()
host.set_ylabel('One Thing')
par.set_ylabel('Another')
line1, = host.plot(time, y1)
line2, = par.plot(time, y2, 'go')
host.legend([line1, line2], ['Item 1', 'Item 2'])
host.xaxis_date()
plt.show()"
how can i access the form submit button value in django?,'first_button' in request.POST
testing python c libraries - get build path,"import sys
sysconfig.get_platform()
sys.version_info[:3]"
is it safe to replace '==' with 'is' to compare boolean-values,bool('False')
how to print with inline if statement?,"marked = []
unmarked = []
mappend = marked.append
unmappend = unmarked.append
[(mappend(str(x)) if y else unmappend(str(x))) for x, y in d.items()]
print('Marked - %s\r\nUnmarked - %s' % (' '.join(marked), ' '.join(unmarked)))"
matplotlib axis label format,"from matplotlib import ticker
scale_pow = 2

def my_formatter_fun(x, p):
    return '%.2f' % (x * 10 ** scale_pow)"
python : how to detect device name/id on a serial com,s = serial.Serial('COM' + str(i))
how do i get the name of a function or method from within a python function or method?,"def funcname():
    return inspect.stack()[1][3]

def somefunc(a, b, c):
    print('My name is: %s' % funcname())"
how to move files between two amazon s3 buckets using boto?,"dst.copy_key(k.key.name, src, k.key.name)"
python/pandas: how to match list of strings with a dataframe column,X = vect.fit_transform(df['Description'])
how to use *args in a function to return a list of dictionaries?,"def Func(*args):
    return [{'This is a word': arg} for arg in args]
print(Func('word1'))
print(Func('word1', 'word2'))"
how to write an application for the system tray in linux,t.add(gtk.Label('Hello'))
iterate over lists with a particular sum,a[list(indices)] = -1
how to insert a small image on the corner of a plot with matplotlib?,height = im.size[1]
in python: how to remove an object from a list if it is only referenced in that list?,"def __init__(self):
    pass"
how to make python format floats with certain amount of significant digits?,5.565719
how to cleanly capture from an infinite generator?,"while True:
    yield i ** 2
i += 1"
instantiating objects in python,"params = {'param1': 'foo', 'param2': 'bar', 'param3': 'hello'}
my_a = A(**params)"
matching and combining multiple 2d lists in python,"result = []
for inner_list1 in list1:
    for inner_list2 in list2:
        set1 = set(inner_list1)
set2 = set(inner_list1)
if set1.intersection(set2):
    result.append(list(set1.union(set2)))"
what do i need to import to gain access to my models?,import sys
rotate text around its center in pycairo,"ctx.set_source_rgb(1, 1, 1)"
how to improve the performance of this tiny distance python function,"def dbscan_metric(a, b):
    diff = a - b
if a.shape[0] != NUM_FEATURES:
    to_calc = diff
else:
    to_calc = np.multiply(FTR_WEIGHTS, diff)"
jinja2: format + join the items of a list,"class FilterModule(object):
    pass"
finding non-numeric rows in dataframe in pandas?,num_df
how to get an app name using python in django,from django.core.urlresolvers import resolve
"string to datetime with fractional seconds, on google app engine",dt
matplotlib show multiple images with for loop,y = np.sin(x)
how do i write a single-file django application?,"""""""<dt>{{ comment.person_name }} said:</dt> <dd>{{ comment.comment }}</dd>"""""""
read large gzip files in python,"filtered = []
with gzip.open(f_name, 'r') as infile:
    for line in infile:
        for i in line.split(' '):
            if i.startswith('/bin/movie/tribune'):
                filtered.append(line)
break"
best way to generate xml?,print(doc.getvalue())
selecting random values from dictionary,"d = {'a': 100, 'b': 5, 'c': 150, 'd': 60}
random.choice(sorted(d, reverse=True, key=d.get)[:3])"
testing if all values in a numpy array are equal,"a = get_weights_array(5)
b = np.array([1.0, 0.9, 0.8, 0.7, 0.6])"
generating an evenly sampled array from unevenly sampled data in numpy,"seconds = np.arange(int(t[0]), int(t[-1]) + 1)
idx = np.searchsorted(t, seconds)
idx = np.unique(idx)"
saving dictionary of numpy arrays,data = {'N': N}
python sequence find function,"return x > 10
var = next(list(filter(test_it, list(range(20)))))"
why is a generator produced by yield faster than a generator produced by xrange?,"0.00285911560059
0.00137305259705"
change permissions via ftp in python,"print(ftp.sendcmd('SITE CHMOD 644 ' + filename))
ftp.quit()"
python selenium click nth element,element.click()
compare multiple columns in numpy array,return numpy.argsort(row)[-6:]
"python abundant, deficient, or perfect number","def get_divs(n):
    return [i for i in range(1, n) if n % i == 0]

def classify(num):
    divs_sum = sum(get_divs(num))
if divs_sum > num:
    print('{} is abundant number'.format(num))
elif divs_sum < num:
    pass"
python - pandas - dataframe: row specific conditional column offset,"for i in map(str, list(range(3, last_column))):
    pass"
flask: how to control the order that after_request handlers are executed?,response1 = after_request_compress(response)
how do i run twisted from the console?,"endpoints.serverFromString(reactor, 'tcp:8080').listen(server.Site(Counter()))
reactor.run()"
updating weight information depending on repeat of edges with networkx,"if G.has_edge(subject_id, object_id):
    pass"
how to create 0x0 numpy array?,a
python - pyqt - qtable widget - adding rows,"tableWidget.setColumnCount(len(entries[0]))
for i, row in enumerate(entries):
    for j, col in enumerate(row):
        item = QTableWidgetItem(col)
tableWidget.setItem(i, j, item)"
how to read a 6 gb csv file with pandas,"chunksize = 10 ** 6
for chunk in pd.read_csv(filename, chunksize=chunksize):
    process(chunk)"
how to save a previous command line argument,"def main():
    with open('CONFIG_FILE.JSON', 'rb') as f:
        config = json.load(f)
if sys.argv[0] == ['configure']:
    configure(config)
return
parser = OptionParser()
parser.add_option('-q', action='store_false', dest='verbose')
config_file['q'] = OPTION_VALUE"
simple way to encode a string according to a password?,"decoded = cipher.decrypt(base64.b64decode(encoded))
print(decoded.strip())"
create ntfs junction point in python,"import ctypes
kdll = ctypes.windll.LoadLibrary('kernel32.dll')
kdll.CreateSymbolicLinkA('d:\testdir', 'd:\testdir_link', 1)"
algorithm to divide a list of numbers into 2 equal sum lists,"return solution[1], sum(oldmoves[solution[1]]), oldmoves[solution[1]]
print(team([90, 200, 100]))
print(team([2, 3, 10, 5, 8, 9, 7, 3, 5, 2]))
print(team([1, 1, 1, 1, 1, 1, 1, 1, 1, 9]))
print(team([87, 100, 28, 67, 68, 41, 67, 1]))
print(team([1, 1, 50, 50, 50, 1000]))"
how to convert all decimals in a python data structure to string?,"def default(self, obj):
    if isinstance(obj, decimal.Decimal):
        return str(obj)"
"reading and parsing email from gmail using c#, c++ or python","def extract_body(payload):
    pass"
perform jira transition via python rest api,password = 'password'
dynamic list that automatically expands,a = DynamicList(iter(range(10)))
how to pythonically yield all values from a list?,"def foo():
    pass"
how to get the cumulative distribution function with numpy?,"hist, bin_edges = np.histogram(np.random.randint(0, 10, 100), normed=True)"
remove duplicate dict in list in python,new_l.append(d)
how to recognize histograms with a specific shape in opencv / python,"for x, y in enumerate(hist):
    cv2.line(h, (x, 0), (x, y), (255, 255, 255))
y = np.flipud(h)"
how can i plot nan values as a special color with imshow in matplotlib?,"cmap.set_bad('white', 1.0)"
pandas apply with list output gives valueerror once df contains timeseries,"df2[['D', 'E']] = df2.apply(function, axis=1)
df2"
numpy array in array resize,"c = np.vstack(b)
print(c.shape)"
slice assignment with a string in a list,"print(L1)
['muffins', 'brownies', 'cookies', 'cake']"
"of scraping data, headless browsers, and python","import contextlib
import selenium.webdriver as webdriver
import bs4 as bs"
pivoting a dataframe in pandas for output to csv,"'baz', -0.419181615269841, -0.658545964124229"
get a complete name of a directory in python,pass
python how to read and split a line to several integers,"with open('filename.txt', 'r') as f:
    pass"
passing on named variable arguments in python,"foo('argvalue', 5, myarg='value')"
"is this a ""pythonic"" method of executing functions as a python switch statement for tuple values?","switch[switch.get(49, default_value)]()"
difference in values of tf-idf matrix using scikit-learn and hand calculation,"df += int(self.smooth_idf)
n_samples += int(self.smooth_idf)"
postgresql on conflict in sqlalchemy,meta.reflect(bind=engine)
should i add a trailing comma after the last argument in a function call?,"a = 'abc',
b = 123,"
python: exit out of two loops,"for y in ys:
    pass"
how do i unit test a module that relies on urllib2?,my_opener = urllib.request.build_opener(MyHTTPHandler)
how to download large file in python with requests.py?,f.write(chunk)
how can i use python to transform mongodb's bsondump into json?,"jsondata = re.sub('ObjectId\\s*\\(\\s*\\""(\\S+)\\""\\s*\\)',
    '{""$oid"": ""\\1""}', bsondata)
jsondata = re.sub('Date\\s*\\(\\s*(\\S+)\\s*\\)', '{""$date"": \\1}', jsondata)
data = json.loads(jsondata, object_hook=json_util.object_hook)
print(data)
print(type(data))
print(json_util.dumps(data))"
"on windows, how to convert a timestamps before 1970 into something manageable?",import datetime as dt
how to use regular expressions do reverse search?,"s = '123456789 nn nn oo nn nn mlm nn203'
match = re.search('(nn)(?!.*nn.*)', s)
print((m.start() - len(s), m.end() - len(s)))"
using resample to align multiple timeseries in pandas,"df = df1.append([df2, df3]).sort_index()
print(df.resample('Q-APR', loffset='-1m').T)"
"getting a ""too many values to unpack"" value error","user = ['X', 'Y', 'Z']"
transform comma separated string into a list but ignore comma in quotes,"for row in csv_reader:
    pass"
day delta for dates >292 years apart,"dates.sort()
dateshift = dates.shift(1)
(dates - dateshift).fillna(0).dt.days.cumsum().describe()"
string formatting in python: can i use %s for all types?,"format(1)
format(1.1)
format('blah')"
"how to split but ignore separators in quoted strings, in python?","['a', 'b', 'c']"
python: logging typeerror: not all arguments converted during string formatting,"__ = BraceMessage
logging.info(__('date={}', date))"
how to check to see if a folder contains files using python 3,"for dirpath, dirnames, files in os.walk('.'):
    if files:
        pass"
groupby with user defined functions pandas,return 'Group2'
scatter plot with a huge amount of data,"idx = random.sample(list(range(N)), 1000)
plt.scatter(delta[idx], vf[idx], c=dS[idx], alpha=0.7, cmap=cm.Paired)
plt.show()"
how to create simple web site with python?,import tornado.web
cvxopt output suppression with mosek,"from cvxopt import matrix, solvers
from mosek import iparam"
how to open file using argparse?,import argparse
perfect forwarding - in python,"if len(newargs) < 2:
    pass"
python/psycopg2 where in statement,"data = 'UK', 'France'
sql = 'SELECT * from countries WHERE country IN %s'"
how to cast object in python,return res
"how can i listen for 'usb device inserted' events in linux, in python?","observer.connect('device-event', device_event)"
loop through all csv files in a folder,"import glob
glob.glob('/path/to/dir/*.csv')"
gpgpu programming in python,"@bind('local_work_size', 1)
def sum(a, b, ret):
    pass"
equivalent of objects.latest() in app engine,"class LatestMixin(object):
    """"""A mixin for db.Model objects that will add a `latest` method to the
    `Query` object returned by cls.all(). Requires that the ORDER_FIELD
    contain the name of the field by which to order the query to determine the
    latest object.""""""
ORDER_FIELD = None

@classmethod
def all(cls):
    q = super(LatestMixin, cls).all()

def latest():
    if cls.ORDER_FIELD is None:
        raise ValueError('ORDER_FIELD must be defined')
return q.order('-' + cls.ORDER_FIELD).get()
q.latest = latest
return q


class Foo(LatestMixin, db.Model):
    ORDER_FIELD = 'timestamp'
timestamp = db.DateTimeProperty(auto_now_add=True)
latest = Foo.all().latest()"
english verbs processing ending with 'e',new = new[:-1]
"python, set terminal type in pexpect","shell_cmd = 'ls -l | grep LOG > log_list.txt'
child = pexpect.spawn('/bin/bash', ['-c', shell_cmd])
child.expect(pexpect.EOF)"
how to test send_file flask,"img1StringIO.seek(0)
assert response.data == imgStringIO.read()"
valueerror: can only call with other periodindex-ed objects,"cols_saved = df1.columns
df1.columns = df1.columns.values.astype(str)"
python mysql escape special characters,"insert = db.execute(sql, msg=weird_string)"
"partially transparent scatter plot, but with a solid color bar","fig2 = pylab.figure()
ax1 = fig1.add_subplot(111)
ax2 = fig2.add_subplot(111)
ax1.scatter(list(range(10)), list(range(10)), c=list(range(10)), alpha=0.2)
im = ax2.scatter(list(range(10)), list(range(10)), c=list(range(10)), alpha=1.0)
fig1.colorbar(im, ax=ax1)
fig1.show()"
python regular expression only matches once,"[text, notes] = re.split('((?:\\r?\\n\\[\\*\\]:[^\\r\\n]*)+$)', s)[:-1]"
fft for spectrograms in python,"signal, fs, enc = wavread('test.wav')"
how to use python to lookup information at specific latitude/longitude in a esri shapefile?,"lyr.ResetReading()
point = ogr.CreateGeometryFromWkt('POINT(4 5)')
for feat in lyr:
    geom = feat.GetGeometryRef()
if geom.Contains(point):
    sm = feat.GetField(feat.GetFieldIndex('surface_material'))"
how to test template context variables with flask,"class MyViewTestCase(TestCase):

    def create_app(self):
        return create_app()

def test_get_success(self):
    response = self.client.get('/pgt/myview')"
scrapy - retrieve spider object in dupefilter,self._mqpush(request)
add horizontal lines to plot based on sort_values criteria,"plt.axhline(l['low'], color='b')
plt.show()"
telling python to save a .txt file to a certain directory on windows and mac,import os
post to tornado server,"class LoginHandler(tornado.web.RequestHandler):

    def post(self):
        email_address = self.get_argument('email', '')
password = self.get_argument('password', '')
if not email_address:
    login_response = {'error': True, 'msg': 'Please enter your email address.'}
elif not password:
    login_response = {'error': True, 'msg': 'Please enter your password.'}
else:
    login_response = {'error': True, 'msg': 'Thank You.'}"
read specific windows event log event,"def main():
    rval = 0"
how to monkeypatch builtin function datetime.datetime.now?,"class patched_datetime(datetime.datetime):
    pass
monkeypatch.setattr(patched_datetime, 'now', nowfunc)
datetime.datetime = patched_datetime"
how to build many-to-many relations using sqlalchemy: a good example,"name = Column(String(255))
description = Column(Text)
details = relationship('Detail', secondary=ItemDetail, backref='Item')


class Detail(Base):
    __tablename__ = 'Detail'
id = Column(Integer, primary_key=True)
name = Column(String)
value = Column(String)
items = relationship('Item', secondary=ItemDetail, backref='Detail')"
fast json serialization (and comparison with pickle) for cluster computing in python?,"def marsh():
    return marshal.dumps(d)

def pick():
    return pickle.dumps(d)

def pick1():
    return pickle.dumps(d, -1)

def cpick():
    return cPickle.dumps(d)

def cpick1():
    return cPickle.dumps(d, -1)

def jso():
    return json.dumps(d)

def rep():
    return repr(d)"
python finding index of maximum in list,"max((v, i) for i, v in enumerate(a))[1]"
import from subpackage or full path difference,"print('TestWithGlobals:', TestWithGlobals.global_string)
print('Script2.TestWithGlobals:', Script2.TestWithGlobals.global_string)"
how to send an email through gmail without enabling 'insecure access'?,from email.mime.text import MIMEText
return a function object with parameter binded?,"c = lambda : b(a, 10)"
python - splitting list that contains strings and integers,"return [n for n in list_to_test if isinstance(n, type_of)]"
how to get rid of punctuation using nltk tokenizer?,tokenizer = RegexpTokenizer('\\w+')
python argparse choices from an infinite set,"msg = _('invalid choice: %r (choose from %s)') % tup
raise ArgumentError(action, msg)"
parse xml with (x)html entities,self.handle_data(chr(name2codepoint[name]))
edit configuration file through python,"f.write(pat.sub(jojo, content))
f.truncate()"
how to use freebase to label a very large unlabeled nlp dataset?,"for t in f:
    t = t.strip()
q = [{'type': t, 'mid': None, 'name': None, '/common/topic/alias': [],
    'limit': 500}]
for r in freebase.mqlreaditer(q):
    print('\t'.join([t, r['mid'], r['name']] + r['/common/topic/alias']))
f.close()"
shuffling a list with restrictions in python,"zip(shapes, colors)
[('a', '1'), ('b', '2'), ('c', '3'), ('d', '4')]"
how to put legend outside the plot with pandas,import pandas as pd
"reloading module, need to re-compile sub modules?","import imp
imp.reload(sm)"
fitting survival models in python from aggregate data,"pandas2ri.activate()
coxph_ = r('coxph')
model = coxph_(Formula('Surv(time, outcome) ~ f1 + f2'), data=df, weights=
    df.num_in_group)
base = importr('base')"
how to merge nested tuples,d[key].extend(flatten_group(preserve_path(value)))
python rectangle collision handling with pygame,"obj.update()
if obj.getRect().colliderect(world[ID].getRect()):
    obj.x -= obj.vx"
adding a variable into keras/tensorflow cnn dense layer,model.summary()
i want to embellish a class from a python module. how do i do this?,"class Extension(module.ModuleClass):
    pass"
styling long chains in python,"name = '-Tadek-'
name = name.strip('-')
name = name.lower()
name = name.replace('k', 'ck')"
making a c extension to python that requires another extension,"log(""Couldn't run pygame.pygame_function"")"
using dateadd in sqlalchemy,"from sqlalchemy import Table, Column, MetaData, DateTime"
"python newbie, equal to a string?","if '211.125.122.192' in theIp:
    print('You are OK')
else:
    print('BAAD')"
how to print utf-8 encoded text to the console in python < 3?,"import sys
sys.setdefaultencoding('utf-8')"
how do i validate the mx record for a domain in python?,"try:
    smtp.connect(mx[1])
except smtplib.SMTPConnectError:
    continue"
how to replace (or strip) an extension from a filename in python?,"import os
print(os.path.splitext('/home/user/somefile.txt')[0] + '.jpg')"
plotting mplot3d / axes3d xyz surface plot with log scale?,ax.yaxis.set_scale('log')
make python automations on current window,"for ch in event.changes:
    ch.highlight()
sleep(1)
for ch in event.changes:
    pass"
retrieve browser headers in python,self.protocol = proto
how specify column and row in dataframe,print(df1)
iterating through a list with an if statement,"do_something_with_i(i)
return True"
create new ttk widget from tkinter,"if __name__ == '__main__':
    root = tk.Tk()"
how i can get cartesian coordinate system in matplotlib?,"fig = plt.figure()
ax = fig.add_subplot(111)"
elegant way of convert a numpy array containing datetime.timedelta into seconds in python 2.7,"times = numpy.array([datetime.timedelta(0, 1, 36000)] * 100000)"
how can i escape latex special characters inside django templates,"regex = re.compile('|'.join(re.escape(str(key)) for key in sorted(list(conv.
    keys()), key=lambda item: -len(item))))"
python coinbase api prices as float,"response = client.get_spot_price()
data = json.loads(response)
amount = float(data['amount'])
print(amount)"
how do i use django groups and permissions?,"permissions = ('read_car', 'Can read Car'),"
how to get first element in a list of tuples?,new_list = [seq[0] for seq in yourlist]
find all text files not containing some text string,"fil = os.path.join(fol, fil)"
add new navigate modes in matplotlib,"self.SetMinSize((100, 100))"
slicing hex string by address range,mask = (1 << end - start + 1) - 1
is there a way to list all the available drive letters in python?,drives.append(letter)
python: parse stream title with mplayer,"out, err = proc.communicate()
exitcode = proc.returncode
return exitcode, out, err

def get_title():
    cmd = 'mplayer -endpos 1 -ao null {url}'.format(url=URL)
out = get_exitcode_stdout_stderr(cmd)[1]
for line in out.split('\n'):
    if line.startswith('ICY Info:'):
        match = re.search(""StreamTitle='(.*)';StreamUrl="", line)
title = match.group(1)
return title

def main():
    print(get_title())"
how can i use super() with one argument in python,super(Spam).__self_class__ is None
how to sort a dictionary having keys as a string of numbers in python,"print(k, a[k])"
some doubts modelling some features for the libsvm/scikit-learn library in python,"0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0"
python: convert multiple instances of the same key into multiple rows,"from collections import OrderedDict
a = OrderedDict({'id': ['1221AB12'], 's': ['Party!'], 'flag': ['urgent',
    'english'], 't': ['0523456789', '0301234567'], 'f': ['0412345678']})
res = product(*list(a.values()))
for line in res:
    pass"
how to make python autocompletion display matches?,mk
selenium webdriver example in python,self._driver = WebDriver()
append list of python dictionaries to a file without loading it,"a = np.memmap('mydict.dat', dtype=object, mode='r')"
how can i find the location of the source code of a built-in python method?,""""""" Two-dimensional size-mutable, potentially heterogeneous tabular data
structure with labeled axes (rows and columns). Arithmetic operations
align on both row and column labels. Can be thought of as a dict-like
container for Series objects. The primary pandas data structure
Parameters
----------
data : numpy ndarray (structured or homogeneous), dict, or DataFrame
    Dict can contain Series, arrays, constants, or list-like objects
index : Index or array-like
    Index to use for resulting frame. Will default to np.arange(n) if
    no indexing information part of input data and no index provided
columns : Index or array-like
    Column labels to use for resulting frame. Will default to
    np.arange(n) if no column labels are provided
dtype : dtype, default None
    Data type to force, otherwise infer
copy : boolean, default False
    Copy data from inputs. Only affects DataFrame / 2d ndarray input
Examples
--------
>>> d = {'col1': ts1, 'col2': ts2}
>>> df = DataFrame(data=d, index=index)
>>> df2 = DataFrame(np.random.randn(10, 5))
>>> df3 = DataFrame(np.random.randn(10, 5),
...                 columns=['a', 'b', 'c', 'd', 'e'])
See also
--------
DataFrame.from_records : constructor from tuples, also record arrays
DataFrame.from_dict : from dicts of Series, arrays, or dicts
DataFrame.from_items : from sequence of (key, value) pairs
pandas.read_csv, pandas.read_table, pandas.read_clipboard
"""""""
graphviz - drawing maximal cliques,"coords = nx.spring_layout(G)
cliques = [clique for clique in nx.find_cliques(G) if len(clique) > 2]"
reloading dependent modules in python,"import imp
time.sleep(5)
imp.reload(othermodule)"
repeatedly create files with counter in python,"for i in itertools.count():
    filename = ''.join(['FILE', str(i), '.txt'])
with open(os.path.join(dir, filename), 'w'):
    pass"
multiple columns index when using the declarative orm extension of sqlalchemy,"a = Column(String(32), index=True)"
how can i pretty-print ascii tables with python?,row = rows[0]
how to execute a function asynchronously every 60 seconds in python?,"def f():
    threading.Timer(60, f).start()
f()"
how to calculate mean in python?,"goodPix = ['96.7958', '97.4333', '96.7938', '96.2792', '97.2292']
gp2 = []
for i in goodPix:
    gp2.append(float(i))
numpy.mean(gp2)"
how to stream xml output quickly from python,from lxml import etree
html truncating in python,re_words = re.compile('&.*?;|<.*?>|([A-Za-z0-9][\\w-]*)')
force content-type or expose request.data in flask for known content-type,"request.add_header('Content-Type', 'application/gooblygop')"
how is order of items in matplotlib legend determined?,"if ax is None:
    ax = plt.gca()
handles, labels = ax.get_legend_handles_labels()"
redirecting to url in flask,app = Flask(__name__)
what are the correct usage/parameter values for houghcircles in opencv for iris detection?,"cv.Circle(output, (x, y), 1, cv.CV_RGB(0, 255, 0), -1, 8, 0)"
in python can one implement mixin behavior without using inheritance?,"class Mixin(object):
    pass"
"initializing object variables - a java approach, a python approach?",raise ValueError('spam must end with !')
how to override equals() in google app engine data model type?,result = self.__eq__(other)
how to emit socketio event on the serverside,"if is_message_to_subscribe(message):
    self.spawn(self.listener, get_your_channel_label(message))"
row and column headers in matplotlib's subplots,ax.set_title(col)
grouping pandas dataframe by n days starting in the begining of the day,df['dateonly'] = df['time'].apply(lambda x: x.date())
filtering signal with python lfilter,result >>= outshift
"finding last occurence of substring in string, replacing that","new_list = [re.sub('\\.(?=[^.]*$)', '. - ', s) for s in old_list]"
sqlalchemy default datetime,"class Test(Base):
    __tablename__ = 'test'
id = Column(Integer, primary_key=True)
created_date = Column(DateTime, default=datetime.datetime.utcnow)"
"python pandas: how to turn a dataframe with ""factors"" into a design matrix for linear regression?","num_rows = 7
df2 = pandas.DataFrame({'a': ['one', 'one', 'two', 'three', 'two', 'one',
    'six'], 'b': ['x', 'y', 'y', 'x', 'y', 'x', 'x'], 'c': np.random.randn(
    num_rows)})"
can't modify list elements in a loop python,"for idx in range(len(li)):
    li[idx] = 'foo'"
how can i convert unicode to uppercase to print it?,"s = 'ex\xc3\xa1mple'
s
s.decode('utf-8').upper()"
implementing topic model with python (numpy),n_k_d[k][d] -= 1
communication between two python scripts,"import http.client
c = http.client.HTTPConnection('localhost', 8080)
c.request('POST', '/process', '{}')
doc = c.getresponse().read()
print(doc)"
regex python match large list of strings,"'Tijuana', 'Toronto', 'Tortola', 'Yakutat', 'McMurdo', 'Rothera'"
mongoengine - query how to filter by listfield size,posts = Post.objects.filter(likes__21__exists=True)
python & pygame: ball collision with interior of circle,angle = 0.5 * math.pi + tangent
split string of digits into lists of even and odd integers,nums['evens'].append(number)
finding the lowest collatz sequence that gives more that 65 primes,"find_seed(numprimes, start)"
upgrade python packages from requirements.txt using pip command,"data2 = open('requirements-prod-no-version.pip', 'w')
for line in data.readlines():
    new_line = line[:line.index('==')]"
how do i pass arguments to a python script with ironpython,engine.Sys.argv = argv
python format tabular output,"table = [(str(x), str(f(x))) for x in mylist]
print_table(table)"
sendmessage from outside in autobahn running in separate thread,"connection.start()
connection.send('test')"
fizzbuzz (turning my output to a string?),"return ', '.join(fb)
fizzbuzz1(20)"
how can i get the name of a drive in python,win32api.GetVolumeInformation('C:\\')
how to count items in json data,item_dict = json.loads(json_data)
groupped sampling in scikit-learn,raise StopIteration()
"python bug with __le__, __ge__?","class XY(X, Y):
    pass"
how to read the csv file properly if each row contains different number of fields (number quite big)?,cols = [col[::-1] for col in row[::-1][2:].split(' ') if len(col)]
python - rounding by quarter-intervals,9.8
how are a name and its reference value related?,id(globals()['a'])
multiple levels of keys and values in python,creatures['birds']['eagle']['female'] = 0
easy way to test if each element in an numpy array lies between two values?,"a = numpy.array([1, 2, 3, 4, 5])
(a > 1).all() and (a < 5).all()"
how to catch multiple exception of same type in decorator,self.register_errors(result)
how to return more than one value from a function in python?,"return x, y
x, y = foo(50)"
how to perform iterative 2d operation on 4d numpy array,"image = np.array([[1, 1, 1, 0, 0], [0, 1, 1, 1, 0], [0, 0, 1, 1, 1], [0, 0,
    1, 1, 0], [0, 1, 1, 0, 0]])"
faster way of polygon intersection with shapely,"from rtree import index
idx = index.Index()
for pos, cell in enumerate(grid_cells):
    idx.insert(pos, cell.bounds)
for poly in polygons:
    merged_cells = cascaded_union([grid_cells[pos] for pos in idx.
        intersection(poly.bounds)])
print(poly.intersection(merged_cells).area)"
find current directory,cwd = os.getcwd()
selecting fields from json output,f.close()
creating a dict of blank lists that are not the same list,"d[3].append(100)
d"
python: listen on two ports,server_A_thread.start()
how to create a draggable legend in matplotlib?,"leg = plt.legend()
if leg:
    leg.draggable()"
finding occurrences of a word in a string in python 3,"str1 = 'the dogs barked'
sum(i == word for word in str1.split())
word = 'dog'
str1 = 'the dog barked'
sum(i == word for word in str1.split())"
"in flask, set a cookie and then re-direct user","from flask import make_response
if s.setSession():
    response = make_response(redirect('/home'))"
efficiently checking euclidean distance for a large number of objects in python,"indices = tree2.query_ball_tree(tree1, r=4.2)"
efficiently sorting a numpy array in descending order?,"temp
id(temp)"
